CityName,LocationName,geocode,Latitude,Longitude,WeatherType,WeatherType(index),ApparentTemperature(pred),Temperature(pred),RelativeHumidity(pred),ComfortIndex(pred),ComfortIndex(index),PoP6h(pred),WindSpeed(pred),WindSpeed(index),WindDirection(pred),DewpointTemperature(pred),TIME_TO_INTERVAL,CrawlerTime,TimeAhead
彰化縣,二林鎮,10007200,23.90147,120.366228,晴,01,11,13,90,13,寒冷,0,5,3,東北風,12,2023-01-19 00:00:00,2023-01-18 23:00:00,24
彰化縣,二林鎮,10007200,23.90147,120.366228,晴,01,11,13,91,13,寒冷,0,5,3,東北風,12,2023-01-19 03:00:00,2023-01-18 23:00:00,24
彰化縣,二林鎮,10007200,23.90147,120.366228,晴,01,11,13,93,13,寒冷,0,6,4,東北風,12,2023-01-19 06:00:00,2023-01-18 23:00:00,24
彰化縣,二林鎮,10007200,23.90147,120.366228,晴,01,12,15,84,15,寒冷,0,6,4,偏北風,12,2023-01-19 09:00:00,2023-01-18 23:00:00,24
彰化縣,二林鎮,10007200,23.90147,120.366228,晴,01,17,19,73,18,稍有寒意,0,8,4,偏北風,14,2023-01-19 12:00:00,2023-01-18 23:00:00,24
彰化縣,二林鎮,10007200,23.90147,120.366228,晴,01,16,19,80,18,稍有寒意,0,7,4,偏北風,15,2023-01-19 15:00:00,2023-01-18 23:00:00,24
彰化縣,二林鎮,10007200,23.90147,120.366228,晴,01,14,16,89,16,稍有寒意,0,5,3,偏北風,15,2023-01-19 18:00:00,2023-01-18 23:00:00,24
彰化縣,二林鎮,10007200,23.90147,120.366228,晴,01,14,16,91,16,寒冷,0,4,3,偏北風,14,2023-01-19 21:00:00,2023-01-18 23:00:00,24
彰化縣,二林鎮,10007200,23.90147,120.366228,晴,01,14,15,92,15,寒冷,0,5,3,東北風,14,2023-01-20 00:00:00,2023-01-19 23:00:00,24
彰化縣,二林鎮,10007200,23.90147,120.366228,多雲,04,14,15,93,15,寒冷,0,5,3,偏北風,14,2023-01-20 03:00:00,2023-01-19 23:00:00,24
彰化縣,二林鎮,10007200,23.90147,120.366228,多雲,04,13,15,93,15,寒冷,0,7,4,東北風,14,2023-01-20 06:00:00,2023-01-19 23:00:00,24
彰化縣,二林鎮,10007200,23.90147,120.366228,晴,01,14,16,83,16,稍有寒意,0,7,4,偏北風,14,2023-01-20 09:00:00,2023-01-19 23:00:00,24
彰化縣,二林鎮,10007200,23.90147,120.366228,晴,01,18,20,73,19,稍有寒意,0,9,5,偏北風,15,2023-01-20 12:00:00,2023-01-19 23:00:00,24
彰化縣,二林鎮,10007200,23.90147,120.366228,晴,01,16,20,80,19,稍有寒意,0,8,4,偏北風,16,2023-01-20 15:00:00,2023-01-19 23:00:00,24
彰化縣,二林鎮,10007200,23.90147,120.366228,多雲,04,13,17,86,17,稍有寒意,0,5,3,偏北風,14,2023-01-20 18:00:00,2023-01-19 23:00:00,24
