TIME_TO_INTERVAL,Date,Radiation(MSMv4)[1d],Radiation(MSMv4)[2d],Radiation(MSMv4)[3d],Radiation(MSMv4)[4d]
2021-04-24 00:00:00,2021-04-24 00:00:00,0.0,0.0,0.0,0.0
2021-04-24 01:00:00,2021-04-24 00:00:00,0.0,0.0,4.08,0.0
2021-04-24 02:00:00,2021-04-24 00:00:00,0.0,0.0,0.0,12.39
2021-04-24 03:00:00,2021-04-24 00:00:00,0.0,0.0,0.0,4.13
2021-04-24 04:00:00,2021-04-24 00:00:00,0.0,0.0,4.08,0.0
2021-04-24 05:00:00,2021-04-24 00:00:00,8.21,0.0,0.0,0.0
2021-04-24 06:00:00,2021-04-24 00:00:00,156.04,0.0,4.08,169.33
2021-04-24 07:00:00,2021-04-24 00:00:00,402.42,24.71,36.74,123.9
2021-04-24 08:00:00,2021-04-24 00:00:00,628.26,135.9,285.79,206.5
2021-04-24 09:00:00,2021-04-24 00:00:00,817.15,28.83,820.62,111.51
2021-04-24 10:00:00,2021-04-24 00:00:00,952.66,45.3,943.1,966.4
2021-04-24 11:00:00,2021-04-24 00:00:00,1022.47,1021.29,1024.75,1036.61
2021-04-24 12:00:00,2021-04-24 00:00:00,1022.47,1017.17,1004.34,1024.22
2021-04-24 13:00:00,2021-04-24 00:00:00,948.56,951.28,902.27,966.4
2021-04-24 14:00:00,2021-04-24 00:00:00,821.26,815.39,759.38,825.98
2021-04-24 15:00:00,2021-04-24 00:00:00,632.37,630.07,624.65,631.88
2021-04-24 16:00:00,2021-04-24 00:00:00,406.52,403.57,396.02,412.99
2021-04-24 17:00:00,2021-04-24 00:00:00,160.15,160.61,138.81,161.07
2021-04-24 18:00:00,2021-04-24 00:00:00,12.32,8.24,4.08,8.26
2021-04-24 19:00:00,2021-04-24 00:00:00,0.0,0.0,4.08,0.0
2021-04-24 20:00:00,2021-04-24 00:00:00,0.0,0.0,0.0,0.0
2021-04-24 21:00:00,2021-04-24 00:00:00,0.0,0.0,0.0,0.0
2021-04-24 22:00:00,2021-04-24 00:00:00,0.0,0.0,0.0,0.0
2021-04-24 23:00:00,2021-04-24 00:00:00,0.0,0.0,0.0,0.0
2021-04-25 00:00:00,2021-04-25 00:00:00,0.0,4.06,4.03,4.06
2021-04-25 01:00:00,2021-04-25 00:00:00,0.0,0.0,0.0,4.06
2021-04-25 02:00:00,2021-04-25 00:00:00,4.0,4.06,4.03,0.0
2021-04-25 03:00:00,2021-04-25 00:00:00,0.0,0.0,0.0,0.0
2021-04-25 04:00:00,2021-04-25 00:00:00,0.0,8.11,0.0,0.0
2021-04-25 05:00:00,2021-04-25 00:00:00,0.0,0.0,20.16,4.06
2021-04-25 06:00:00,2021-04-25 00:00:00,48.0,16.22,153.2,32.5
2021-04-25 07:00:00,2021-04-25 00:00:00,8.0,393.35,112.88,69.07
2021-04-25 08:00:00,2021-04-25 00:00:00,120.0,596.1,233.83,613.51
2021-04-25 09:00:00,2021-04-25 00:00:00,156.0,68.94,40.31,804.47
2021-04-25 10:00:00,2021-04-25 00:00:00,60.0,81.1,32.25,16.25
2021-04-25 11:00:00,2021-04-25 00:00:00,40.0,60.83,24.19,926.36
2021-04-25 12:00:00,2021-04-25 00:00:00,36.0,72.99,40.31,520.06
2021-04-25 13:00:00,2021-04-25 00:00:00,16.0,40.55,28.22,930.43
2021-04-25 14:00:00,2021-04-25 00:00:00,32.0,20.28,16.13,320.98
2021-04-25 15:00:00,2021-04-25 00:00:00,0.0,20.28,4.03,288.47
2021-04-25 16:00:00,2021-04-25 00:00:00,4.0,405.51,4.03,142.2
2021-04-25 17:00:00,2021-04-25 00:00:00,0.0,158.15,0.0,16.25
2021-04-25 18:00:00,2021-04-25 00:00:00,0.0,4.06,0.0,0.0
2021-04-25 19:00:00,2021-04-25 00:00:00,0.0,4.06,0.0,0.0
2021-04-25 20:00:00,2021-04-25 00:00:00,0.0,0.0,0.0,0.0
2021-04-25 21:00:00,2021-04-25 00:00:00,0.0,0.0,0.0,4.06
2021-04-25 22:00:00,2021-04-25 00:00:00,0.0,0.0,0.0,0.0
2021-04-25 23:00:00,2021-04-25 00:00:00,0.0,0.0,0.0,0.0
2021-04-26 00:00:00,2021-04-26 00:00:00,0.0,0.0,0.0,8.14
2021-04-26 01:00:00,2021-04-26 00:00:00,0.0,4.07,0.0,0.0
2021-04-26 02:00:00,2021-04-26 00:00:00,0.0,0.0,4.09,0.0
2021-04-26 03:00:00,2021-04-26 00:00:00,0.0,0.0,0.0,4.07
2021-04-26 04:00:00,2021-04-26 00:00:00,0.0,8.15,0.0,0.0
2021-04-26 05:00:00,2021-04-26 00:00:00,0.0,0.0,4.09,4.07
2021-04-26 06:00:00,2021-04-26 00:00:00,0.0,20.37,159.69,16.28
2021-04-26 07:00:00,2021-04-26 00:00:00,0.0,24.45,53.23,101.77
2021-04-26 08:00:00,2021-04-26 00:00:00,12.11,24.45,49.13,93.63
2021-04-26 09:00:00,2021-04-26 00:00:00,48.43,228.19,73.7,36.64
2021-04-26 10:00:00,2021-04-26 00:00:00,56.5,908.68,102.36,69.2
2021-04-26 11:00:00,2021-04-26 00:00:00,40.35,1014.63,225.2,736.83
2021-04-26 12:00:00,2021-04-26 00:00:00,44.39,1010.55,962.2,1009.57
2021-04-26 13:00:00,2021-04-26 00:00:00,36.32,220.04,941.73,97.7
2021-04-26 14:00:00,2021-04-26 00:00:00,32.28,374.88,822.99,260.54
2021-04-26 15:00:00,2021-04-26 00:00:00,52.46,179.29,520.0,93.63
