ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount,date
1,1014.4,1024.7,15.8,12,78,1.3,340,4.3,330,0,0,...,0,...,0,...,2020/1/1
2,1014.1,1024.4,15.6,11.8,78,1.4,340,4.3,20,0,0,...,0,12,0,10,2020/1/1
3,1014.2,1024.5,15.8,12.1,79,1.4,350,3.6,340,0,0,...,0,...,0,...,2020/1/1
4,1014.1,1024.4,15.8,12.1,79,1.4,340,4.5,350,0,0,...,0,...,0,...,2020/1/1
5,1014.4,1024.7,15.7,12.1,79,1.2,310,3.2,310,0,0,...,0,15,0,10,2020/1/1
6,1015,1025.3,15.9,12.3,79,0.5,300,3.7,350,0,0,0,0,...,0,...,2020/1/1
7,1015.9,1026.2,16,12.5,80,1.2,320,3.1,300,0,0,0,0,...,0,...,2020/1/1
8,1016.8,1027.1,16.2,12.9,81,1.3,350,3,310,0,0,0,0,20,0,10,2020/1/1
9,1017.2,1027.5,16.8,13,78,1.5,330,3.1,350,0,0,0,0.27,20,0,10,2020/1/1
10,1017.6,1027.9,16.8,13.2,79,1.6,340,3.9,350,0,0,0,0.6,...,1,...,2020/1/1
11,1017,1027.2,17.9,13.5,75,2.2,350,4.4,350,0,0,0,0.6,20,2,10,2020/1/1
12,1015.9,1026.1,19.2,14.3,73,1.3,20,6.1,360,0,0,0,0.98,...,3,...,2020/1/1
13,1014.9,1025.1,19.6,14.3,71,1.6,330,3.9,350,0,0,0.1,1.39,...,3,...,2020/1/1
14,1014.2,1024.3,20.1,14.5,70,2.1,320,5.2,310,0,0,0,1.16,20,2,10,2020/1/1
15,1013.6,1023.7,20.4,14.9,71,2.4,340,5.8,20,0,0,0.5,1.49,...,2,...,2020/1/1
16,1013.7,1023.8,20,14.4,70,1.9,330,5.3,300,0,0,0.4,0.73,...,1,...,2020/1/1
17,1014.1,1024.3,19.4,14.4,73,2.5,340,5.1,350,0,0,0.8,0.35,20,0,5,2020/1/1
18,1014.4,1024.6,18.8,14.5,76,1.1,330,4.4,310,0,0,0,0,...,0,...,2020/1/1
19,1014.2,1024.4,17.3,14.3,83,0.4,20,2.6,340,0,0,0,0,...,0,...,2020/1/1
20,1014.2,1024.4,17.7,14.8,83,0.7,280,1.6,240,0,0,...,0,12,0,0,2020/1/1
21,1014.8,1025.1,16.7,14.2,85,2.1,360,4.5,360,0,0,...,0,10,0,0,2020/1/1
22,1015.3,1025.6,16.1,13.9,87,0.7,290,4,360,0,0,...,0,...,0,...,2020/1/1
23,1015.1,1025.4,15.3,13.8,91,0.2,0,1.8,310,0,0,...,0,10,0,0,2020/1/1
24,1015.1,1025.4,15.6,14.1,91,1.5,330,2.8,340,0,0,...,0,...,0,...,2020/1/1
1,1014.9,1025.2,14.9,13.6,92,0.4,310,2.7,330,0,0,...,0,...,0,...,2020/1/2
2,1014.4,1024.7,14.8,13.8,94,0.3,100,1.4,310,0,0,...,0,10,0,0,2020/1/2
3,1013.5,1023.8,14.9,13.8,93,0.5,130,1.6,130,0,0,...,0,...,0,...,2020/1/2
4,1013.4,1023.7,14.5,13.8,96,0.3,60,1.2,70,0,0,...,0,...,0,...,2020/1/2
5,1013.9,1024.2,15,14,94,0.9,350,2.7,350,0,0,...,0,10,0,0,2020/1/2
6,1014.3,1024.6,14.1,13.3,95,0,0,2.9,350,0,0,0,0,...,0,...,2020/1/2
7,1015,1025.4,14.1,13.4,96,0.2,0,1.3,100,0,0,0,0,...,0,...,2020/1/2
8,1015.7,1026,15.9,15.2,96,0.5,150,2,340,0,0,0.6,0.35,12,0,5,2020/1/2
9,1016,1026.2,18.1,16.1,88,0.3,160,1.5,120,0,0,1,0.95,12,1,0,2020/1/2
10,1015.9,1026,20.9,15.8,73,0.5,190,1.9,210,0,0,1,1.62,...,2,...,2020/1/2
11,1015.2,1025.3,22.6,16,66,0.8,190,3,250,0,0,1,2.05,12,4,0,2020/1/2
12,1014.1,1024.1,23.3,15.7,62,1.3,210,3.3,140,0,0,1,2.4,...,5,...,2020/1/2
13,1013.3,1023.3,23.5,15.5,61,1.1,210,3.7,250,0,0,1,2.4,...,5,...,2020/1/2
14,1012.4,1022.4,24.4,16.1,60,1.5,250,4.3,250,0,0,1,2.14,12,4,0,2020/1/2
15,1012.5,1022.5,22.4,15.4,65,2,330,6.5,280,0,0,1,1.49,...,2,...,2020/1/2
16,1012.8,1022.9,20.9,15.1,69,2.1,330,5.7,340,0,0,1,0.91,...,1,...,2020/1/2
17,1013.1,1023.2,20,15.1,73,1.4,340,5.1,300,0,0,0.6,0.27,10,0,0,2020/1/2
18,1013.4,1023.5,19.6,15.3,76,2.6,10,5.4,350,0,0,0,0,...,0,...,2020/1/2
19,1013.7,1023.9,18.6,15.1,80,0.5,40,3.8,350,0,0,0,0,...,0,...,2020/1/2
20,1014.1,1024.3,18,15.3,84,0.3,90,1.4,40,0,0,...,0,12,0,0,2020/1/2
21,1014,1024.2,17.2,15.2,88,0.4,150,2,160,0,0,...,0,10,0,0,2020/1/2
22,1013.8,1024,17.3,15.4,89,0.4,300,2.1,160,0,0,...,0,...,0,...,2020/1/2
23,1013.3,1023.5,16.6,15.1,91,0,0,1.6,350,0,0,...,0,10,0,0,2020/1/2
24,1012.9,1023.2,16.2,14.9,92,0.6,120,1.3,60,0,0,...,0,...,0,...,2020/1/2
1,1012.7,1023,16.2,15,93,0.2,0,1.3,130,0,0,...,0,...,0,...,2020/1/3
2,1012.5,1022.8,15.7,14.8,94,0.2,0,1.3,80,0,0,...,0,8,0,0,2020/1/3
3,1012.2,1022.5,15.4,14.6,95,0.1,0,1.7,130,0,0,...,0,...,0,...,2020/1/3
4,1012.1,1022.4,15.1,14.3,95,0,0,1.3,70,0,0,...,0,...,0,...,2020/1/3
5,1012.5,1022.8,15,14.2,95,0.2,0,1.2,120,0,0,...,0,10,0,0,2020/1/3
6,1012.9,1023.2,14.8,14.1,96,0.1,0,1.2,80,0,0,0,0,...,0,...,2020/1/3
7,1013.3,1023.6,15,14.2,95,0.3,90,1.1,90,0,0,0,0,...,0,...,2020/1/3
8,1013.9,1024.2,16.2,15.7,97,0.2,0,1.2,70,0,0,0.3,0.23,10,0,0,2020/1/3
9,1014.2,1024.4,18.7,17.1,90,0.3,60,1.7,360,0,0,1,0.85,10,1,0,2020/1/3
10,1014.2,1024.3,20.5,16.6,78,1.2,160,2.1,170,0,0,1,1.43,...,2,...,2020/1/3
11,1013.1,1023.2,21.9,16.7,72,0.8,160,2.9,160,0,0,1,1.96,8,3,0,2020/1/3
