TIME_TO_INTERVAL,Visibility(pred),PoP(pred),WeatherType(index),WeatherType(main),WeatherType,Temperature(pred),FeelsLikeTemperature(pred),MaxTemperature(pred),MinTemperature(pred),Pressure(pred),AtmosphericPressureSea(pred),AtmosphericPressureGround(pred),RelativeHumidity(pred),WindSpeed(pred),WindDirection(pred),Rain(pred),Latitude,Longitude,ID,Name,CrawlerTime,TimeAhead
2023-01-19 02:00:00,10000,0.0,800,Clear,晴,13.400000000000034,12.860000000000014,13.400000000000034,13.400000000000034,1023,1023,1009,79,5.08,24,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 23:00:00,24
2023-01-19 05:00:00,10000,0.0,800,Clear,晴,13.270000000000039,12.660000000000025,13.210000000000036,13.270000000000039,1022,1022,1009,77,4.94,25,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 23:00:00,24
2023-01-19 08:00:00,10000,0.0,800,Clear,晴,14.800000000000011,14.090000000000032,14.800000000000011,14.800000000000011,1023,1023,1010,67,4.24,22,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 23:00:00,24
2023-01-19 11:00:00,10000,0.0,801,Clouds,晴，少雲,19.420000000000016,18.80000000000001,19.420000000000016,19.420000000000016,1022,1022,1010,53,5.53,360,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 23:00:00,24
2023-01-19 14:00:00,10000,0.0,800,Clear,晴,20.560000000000002,20.03000000000003,20.560000000000002,20.560000000000002,1020,1020,1007,52,6.6,355,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 23:00:00,24
2023-01-19 17:00:00,10000,0.0,800,Clear,晴,18.25,17.78000000000003,18.25,18.25,1020,1020,1007,63,6.58,4,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 23:00:00,24
2023-01-19 20:00:00,10000,0.0,800,Clear,晴,15.930000000000007,15.510000000000048,15.930000000000007,15.930000000000007,1022,1022,1009,74,5.45,16,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 23:00:00,24
2023-01-19 23:00:00,10000,0.0,800,Clear,晴,15.230000000000018,14.79000000000002,15.230000000000018,15.230000000000018,1022,1022,1010,76,4.82,21,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 23:00:00,24
2023-01-20 02:00:00,10000,0.0,800,Clear,晴,15.32000000000005,15.100000000000023,15.32000000000005,15.370000000000005,1022,1022,1008,84,4.2,24,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 23:00:00,24
2023-01-20 05:00:00,10000,0.0,800,Clear,晴,15.0,14.670000000000016,14.860000000000014,15.0,1021,1021,1008,81,4.72,26,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 23:00:00,24
2023-01-20 08:00:00,10000,0.0,800,Clear,晴,16.150000000000034,15.670000000000016,16.150000000000034,16.150000000000034,1022,1022,1009,71,5.11,22,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 23:00:00,24
2023-01-20 11:00:00,10000,0.0,800,Clear,晴,20.730000000000018,20.27000000000004,20.730000000000018,20.730000000000018,1022,1022,1009,54,5.04,1,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 23:00:00,24
2023-01-20 14:00:00,10000,0.0,800,Clear,晴,21.900000000000034,21.5,21.900000000000034,21.900000000000034,1019,1019,1006,52,7.11,358,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 23:00:00,24
2023-01-20 17:00:00,10000,0.01,800,Clear,晴,19.730000000000018,19.33000000000004,19.730000000000018,19.730000000000018,1019,1019,1006,60,6.92,6,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 23:00:00,24
2023-01-20 20:00:00,10000,0.0,800,Clear,晴,17.05000000000001,16.590000000000032,17.05000000000001,17.05000000000001,1021,1021,1008,68,5.75,17,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 23:00:00,24
2023-01-20 23:00:00,10000,0.0,803,Clouds,多雲,16.58000000000004,16.07000000000005,16.58000000000004,16.58000000000004,1021,1021,1009,68,5.26,20,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 23:00:00,24
2023-01-21 02:00:00,10000,0.0,803,Clouds,多雲,16.350000000000023,15.82000000000005,16.350000000000023,16.350000000000023,1021,1021,1008,68,3.45,30,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-21 05:00:00,10000,0.0,803,Clouds,多雲,16.370000000000005,15.890000000000043,16.370000000000005,16.370000000000005,1020,1020,1008,70,3.86,15,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-21 08:00:00,10000,0.0,803,Clouds,多雲,17.129999999999995,16.670000000000016,17.129999999999995,17.129999999999995,1021,1021,1008,68,3.5,13,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-21 11:00:00,10000,0.0,803,Clouds,多雲,20.640000000000043,20.25,20.640000000000043,20.640000000000043,1020,1020,1008,57,4.32,356,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-21 14:00:00,10000,0.0,802,Clouds,多雲,22.200000000000045,21.910000000000025,22.200000000000045,22.200000000000045,1017,1017,1005,55,5.66,353,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-21 17:00:00,10000,0.02,800,Clear,晴,19.54000000000002,19.400000000000034,19.54000000000002,19.54000000000002,1017,1017,1004,71,6.12,2,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-21 20:00:00,10000,0.0,800,Clear,晴,17.79000000000002,17.74000000000001,17.79000000000002,17.79000000000002,1018,1018,1005,81,2.62,7,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-21 23:00:00,10000,0.0,800,Clear,晴,17.180000000000007,17.150000000000034,17.180000000000007,17.180000000000007,1018,1018,1006,84,0.46,346,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-22 02:00:00,10000,0.0,801,Clouds,晴，少雲,16.52000000000004,16.53000000000003,16.52000000000004,16.52000000000004,1019,1019,1006,88,1.15,359,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-22 05:00:00,10000,0.1,803,Clouds,多雲,16.160000000000025,16.08000000000004,16.160000000000025,16.160000000000025,1019,1019,1006,86,1.81,11,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-22 08:00:00,10000,0.0,803,Clouds,多雲,17.140000000000043,16.970000000000027,17.140000000000043,17.140000000000043,1019,1019,1007,79,1.74,24,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-22 11:00:00,10000,0.0,801,Clouds,晴，少雲,21.439999999999998,21.230000000000018,21.439999999999998,21.439999999999998,1019,1019,1006,61,2.52,335,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-22 14:00:00,10000,0.0,801,Clouds,晴，少雲,22.379999999999995,22.189999999999998,22.379999999999995,22.379999999999995,1016,1016,1003,58,3.62,327,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-22 17:00:00,10000,0.0,800,Clear,晴,20.80000000000001,20.55000000000001,20.80000000000001,20.80000000000001,1015,1015,1003,62,3.03,354,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-22 20:00:00,10000,0.0,800,Clear,晴,18.970000000000027,18.75,18.970000000000027,18.970000000000027,1017,1017,1004,70,2.03,25,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-22 23:00:00,10000,0.0,800,Clear,晴,18.30000000000001,17.99000000000001,18.30000000000001,18.30000000000001,1016,1016,1004,69,2.02,44,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-23 02:00:00,10000,0.0,800,Clear,晴,17.310000000000002,16.980000000000018,17.310000000000002,17.310000000000002,1016,1016,1004,72,3.0,31,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-23 05:00:00,10000,0.0,800,Clear,晴,16.879999999999995,16.27000000000004,16.879999999999995,16.879999999999995,1015,1015,1002,63,1.98,64,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-23 08:00:00,10000,0.0,800,Clear,晴,18.55000000000001,17.920000000000016,18.55000000000001,18.55000000000001,1016,1016,1004,56,1.46,20,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-23 11:00:00,10000,0.0,804,Clouds,陰，多雲,22.360000000000014,22.090000000000032,22.360000000000014,22.360000000000014,1016,1016,1004,55,3.27,337,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-23 14:00:00,10000,0.0,803,Clouds,多雲,22.370000000000005,22.200000000000045,22.370000000000005,22.370000000000005,1014,1014,1002,59,6.06,359,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-23 17:00:00,10000,0.01,802,Clouds,多雲,20.54000000000002,20.430000000000007,20.54000000000002,20.54000000000002,1014,1014,1002,68,5.96,10,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-23 20:00:00,10000,0.0,802,Clouds,多雲,18.220000000000027,18.129999999999995,18.220000000000027,18.220000000000027,1016,1016,1003,78,4.8,12,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-23 23:00:00,10000,0.0,804,Clouds,陰，多雲,17.390000000000043,17.220000000000027,17.390000000000043,17.390000000000043,1017,1017,1004,78,6.08,19,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-24 02:00:00,10000,0.0,804,Clouds,陰，多雲,16.970000000000027,16.760000000000048,16.970000000000027,16.970000000000027,1017,1017,1005,78,6.88,19,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-24 05:00:00,10000,0.0,804,Clouds,陰，多雲,16.600000000000023,16.30000000000001,16.600000000000023,16.600000000000023,1017,1017,1004,76,7.95,19,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-24 08:00:00,10000,0.0,804,Clouds,陰，多雲,16.5,16.140000000000043,16.5,16.5,1019,1019,1006,74,9.76,15,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-24 11:00:00,10000,0.0,804,Clouds,陰，多雲,18.03000000000003,17.53000000000003,18.03000000000003,18.03000000000003,1019,1019,1007,63,9.79,12,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-24 14:00:00,10000,0.0,804,Clouds,陰，多雲,17.54000000000002,16.890000000000043,17.54000000000002,17.54000000000002,1018,1018,1005,59,10.58,14,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-24 17:00:00,10000,0.05,804,Clouds,陰，多雲,14.920000000000016,14.160000000000025,14.920000000000016,14.920000000000016,1019,1019,1007,65,11.34,14,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-24 20:00:00,10000,0.03,804,Clouds,陰，多雲,13.340000000000032,12.480000000000018,13.340000000000032,13.340000000000032,1022,1022,1009,67,12.02,16,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-24 23:00:00,10000,0.04,804,Clouds,陰，多雲,11.660000000000025,10.629999999999995,11.660000000000025,11.660000000000025,1023,1023,1010,67,12.44,17,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,24
2023-01-18 02:00:00,10000,0.0,801,Clouds,晴，少雲,13.510000000000048,13.189999999999998,13.510000000000048,14.300000000000011,1024,1024,1010,87,6.77,21,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 02:00:00,0
2023-01-18 05:00:00,10000,0.0,802,Clouds,多雲,13.07000000000005,12.680000000000007,13.07000000000005,13.710000000000036,1024,1024,1010,86,6.8,22,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 05:00:00,0
2023-01-18 08:00:00,10000,0.0,801,Clouds,晴，少雲,12.830000000000041,12.390000000000043,12.830000000000041,14.840000000000032,1025,1025,1011,85,5.82,19,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 08:00:00,0
2023-01-18 11:00:00,10000,0.0,800,Clear,晴,16.980000000000018,16.480000000000018,16.980000000000018,18.82000000000005,1023,1023,1010,67,7.21,6,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 11:00:00,0
2023-01-18 14:00:00,10000,0.0,800,Clear,晴,16.350000000000023,15.840000000000032,16.350000000000023,19.52000000000004,1022,1022,1007,69,8.05,1,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 14:00:00,0
2023-01-18 17:00:00,10000,0.0,800,Clear,晴,15.560000000000002,15.210000000000036,15.560000000000002,17.150000000000034,1021,1021,1008,78,7.44,7,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 16:00:00,0
2023-01-18 20:00:00,10000,0.0,800,Clear,晴,13.700000000000045,13.210000000000036,13.700000000000045,14.700000000000045,1022,1022,1009,80,6.34,18,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 19:00:00,0
2023-01-18 23:00:00,10000,0.0,800,Clear,晴,13.400000000000034,12.910000000000025,13.400000000000034,13.950000000000045,1023,1023,1010,81,5.65,20,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 23:00:00,0
2023-01-19 02:00:00,10000,0.0,800,Clear,晴,13.340000000000032,12.840000000000032,13.340000000000032,13.770000000000039,1022,1022,1009,81,5.16,23,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 02:00:00,0
2023-01-19 05:00:00,10000,0.0,800,Clear,晴,13.189999999999998,12.710000000000036,13.189999999999998,13.590000000000032,1022,1022,1008,82,5.26,23,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 05:00:00,0
2023-01-19 08:00:00,10000,0.0,800,Clear,晴,13.270000000000039,12.770000000000039,13.270000000000039,15.180000000000007,1023,1023,1009,81,4.4,21,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 08:00:00,0
2023-01-19 11:00:00,10000,0.0,800,Clear,晴,17.600000000000023,17.170000000000016,17.600000000000023,19.99000000000001,1023,1023,1009,67,5.68,1,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 11:00:00,0
2023-01-19 14:00:00,10000,0.0,800,Clear,晴,20.80000000000001,20.55000000000001,20.80000000000001,21.110000000000014,1020,1020,1007,62,6.74,355,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 14:00:00,0
2023-01-19 17:00:00,10000,0.0,800,Clear,晴,19.460000000000036,19.29000000000002,18.810000000000002,19.460000000000036,1019,1019,1007,70,6.39,6,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 16:00:00,0
2023-01-19 20:00:00,10000,0.0,800,Clear,晴,16.439999999999998,16.52000000000004,16.439999999999998,16.810000000000002,1020,1020,1008,91,5.32,18,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 19:00:00,0
2023-01-19 23:00:00,10000,0.0,800,Clear,晴,15.360000000000014,15.200000000000045,15.360000000000014,15.990000000000009,1022,1022,1009,86,4.75,19,,24.0753,120.5694,500,彰化縣彰化市,2023-01-19 22:00:00,0
2023-01-20 02:00:00,10000,0.0,800,Clear,晴,15.360000000000014,15.220000000000027,15.360000000000014,15.370000000000005,1022,1022,1008,87,4.2,24,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-20 05:00:00,10000,0.0,800,Clear,晴,15.189999999999998,14.960000000000036,14.860000000000014,15.189999999999998,1022,1022,1008,84,4.72,26,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-20 08:00:00,10000,0.0,800,Clear,晴,15.890000000000043,15.520000000000039,15.890000000000043,16.150000000000034,1022,1022,1009,76,5.11,22,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-20 11:00:00,10000,0.0,800,Clear,晴,20.730000000000018,20.27000000000004,20.730000000000018,20.730000000000018,1022,1022,1009,54,5.04,1,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-20 14:00:00,10000,0.0,800,Clear,晴,21.900000000000034,21.5,21.900000000000034,21.900000000000034,1019,1019,1006,52,7.11,358,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-20 17:00:00,10000,0.01,800,Clear,晴,19.730000000000018,19.33000000000004,19.730000000000018,19.730000000000018,1019,1019,1006,60,6.92,6,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-20 20:00:00,10000,0.0,800,Clear,晴,17.05000000000001,16.590000000000032,17.05000000000001,17.05000000000001,1021,1021,1008,68,5.75,17,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-20 23:00:00,10000,0.0,803,Clouds,多雲,16.58000000000004,16.07000000000005,16.58000000000004,16.58000000000004,1021,1021,1009,68,5.26,20,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-21 02:00:00,10000,0.0,803,Clouds,多雲,16.350000000000023,15.82000000000005,16.350000000000023,16.350000000000023,1021,1021,1008,68,3.45,30,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-21 05:00:00,10000,0.0,803,Clouds,多雲,16.370000000000005,15.890000000000043,16.370000000000005,16.370000000000005,1020,1020,1008,70,3.86,15,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-21 08:00:00,10000,0.0,803,Clouds,多雲,17.129999999999995,16.670000000000016,17.129999999999995,17.129999999999995,1021,1021,1008,68,3.5,13,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-21 11:00:00,10000,0.0,803,Clouds,多雲,20.640000000000043,20.25,20.640000000000043,20.640000000000043,1020,1020,1008,57,4.32,356,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-21 14:00:00,10000,0.0,802,Clouds,多雲,22.200000000000045,21.910000000000025,22.200000000000045,22.200000000000045,1017,1017,1005,55,5.66,353,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-21 17:00:00,10000,0.02,800,Clear,晴,19.54000000000002,19.400000000000034,19.54000000000002,19.54000000000002,1017,1017,1004,71,6.12,2,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-21 20:00:00,10000,0.0,800,Clear,晴,17.79000000000002,17.74000000000001,17.79000000000002,17.79000000000002,1018,1018,1005,81,2.62,7,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-21 23:00:00,10000,0.0,800,Clear,晴,17.180000000000007,17.150000000000034,17.180000000000007,17.180000000000007,1018,1018,1006,84,0.46,346,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-22 02:00:00,10000,0.0,801,Clouds,晴，少雲,16.52000000000004,16.53000000000003,16.52000000000004,16.52000000000004,1019,1019,1006,88,1.15,359,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-22 05:00:00,10000,0.1,803,Clouds,多雲,16.160000000000025,16.08000000000004,16.160000000000025,16.160000000000025,1019,1019,1006,86,1.81,11,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-22 08:00:00,10000,0.0,803,Clouds,多雲,17.140000000000043,16.970000000000027,17.140000000000043,17.140000000000043,1019,1019,1007,79,1.74,24,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
2023-01-22 11:00:00,10000,0.0,801,Clouds,晴，少雲,21.439999999999998,21.230000000000018,21.439999999999998,21.439999999999998,1019,1019,1006,61,2.52,335,,24.0753,120.5694,500,彰化縣彰化市,2023-01-20 01:00:00,0
