Unnamed: 0,dt,visibility,pop,dt_txt,weather_id,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,temp_kf,wind_speed,wind_deg,rain,lat,lon,id,name,CrawlerTime
0,1673978400,10000,0.0,2023-01-17 18:00:00,801,Clouds,晴，少雲,286.65,286.38,286.65,287.45,1024,1024,1010,89,-0.8,6.77,21,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
1,1673989200,10000,0.0,2023-01-17 21:00:00,801,Clouds,晴，少雲,286.7,286.33,286.7,286.81,1024,1024,1010,85,-0.11,6.77,21,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
2,1674000000,10000,0.0,2023-01-18 00:00:00,801,Clouds,晴，少雲,287.56,287.04,287.56,288.01,1024,1024,1011,76,-0.45,5.74,20,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
3,1674010800,10000,0.0,2023-01-18 03:00:00,802,Clouds,多雲,292.25,291.63,292.25,292.25,1023,1023,1010,54,0.0,6.79,4,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
4,1674021600,10000,0.0,2023-01-18 06:00:00,801,Clouds,晴，少雲,292.71,292.11,292.71,292.71,1020,1020,1008,53,0.0,8.22,0,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
5,1674032400,10000,0.0,2023-01-18 09:00:00,800,Clear,晴,290.12,289.49,290.12,290.12,1020,1020,1008,62,0.0,7.68,9,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
6,1674043200,10000,0.0,2023-01-18 12:00:00,800,Clear,晴,287.72,287.09,287.72,287.72,1022,1022,1009,71,0.0,6.42,19,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
7,1674054000,10000,0.0,2023-01-18 15:00:00,800,Clear,晴,287.15,286.51,287.15,287.15,1022,1022,1009,73,0.0,5.08,21,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
8,1674064800,10000,0.0,2023-01-18 18:00:00,800,Clear,晴,286.63,286.02,286.63,286.63,1022,1022,1010,76,0.0,4.77,25,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
9,1674075600,10000,0.0,2023-01-18 21:00:00,800,Clear,晴,286.37,285.73,286.37,286.37,1022,1022,1009,76,0.0,5.2,24,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
10,1674086400,10000,0.0,2023-01-19 00:00:00,800,Clear,晴,287.94,287.2,287.94,287.94,1023,1023,1010,66,0.0,4.21,22,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
11,1674097200,10000,0.0,2023-01-19 03:00:00,800,Clear,晴,292.56,291.91,292.56,292.56,1023,1023,1010,52,0.0,5.32,359,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
12,1674108000,10000,0.0,2023-01-19 06:00:00,800,Clear,晴,293.47,292.89,293.47,293.47,1020,1020,1007,51,0.0,6.68,355,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
13,1674118800,10000,0.0,2023-01-19 09:00:00,800,Clear,晴,291.08,290.55,291.08,291.08,1020,1020,1007,62,0.0,7.01,4,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
14,1674129600,10000,0.0,2023-01-19 12:00:00,800,Clear,晴,288.92,288.41,288.92,288.92,1022,1022,1009,71,0.0,5.6,20,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
15,1674140400,10000,0.0,2023-01-19 15:00:00,800,Clear,晴,288.32,287.8,288.32,288.32,1022,1022,1010,73,0.0,4.8,22,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
16,1674151200,10000,0.0,2023-01-19 18:00:00,800,Clear,晴,287.7,287.14,287.7,287.7,1022,1022,1009,74,0.0,4.87,25,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
17,1674162000,10000,0.0,2023-01-19 21:00:00,800,Clear,晴,287.27,286.7,287.27,287.27,1021,1021,1008,75,0.0,5.39,26,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
18,1674172800,10000,0.0,2023-01-20 00:00:00,800,Clear,晴,288.61,287.99,288.61,288.61,1023,1023,1010,68,0.0,5.14,25,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
19,1674183600,10000,0.0,2023-01-20 03:00:00,800,Clear,晴,293.32,292.72,293.32,293.32,1022,1022,1010,51,0.0,5.43,3,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
20,1674194400,10000,0.0,2023-01-20 06:00:00,800,Clear,晴,294.37,293.85,294.37,294.37,1019,1019,1006,50,0.0,7.31,359,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
21,1674205200,10000,0.0,2023-01-20 09:00:00,800,Clear,晴,292.2,291.65,292.2,292.2,1019,1019,1006,57,0.0,7.24,8,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
22,1674216000,10000,0.0,2023-01-20 12:00:00,800,Clear,晴,289.49,288.88,289.49,289.49,1021,1021,1009,65,0.0,5.51,21,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
23,1674226800,10000,0.0,2023-01-20 15:00:00,800,Clear,晴,288.65,288.01,288.65,288.65,1022,1022,1009,67,0.0,3.75,25,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
24,1674237600,10000,0.0,2023-01-20 18:00:00,800,Clear,晴,288.01,287.35,288.01,288.01,1021,1021,1009,69,0.0,3.0,37,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
25,1674248400,10000,0.0,2023-01-20 21:00:00,800,Clear,晴,287.58,286.93,287.58,287.58,1021,1021,1008,71,0.0,3.12,26,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
26,1674259200,10000,0.0,2023-01-21 00:00:00,800,Clear,晴,288.9,288.18,288.9,288.9,1022,1022,1009,63,0.0,2.28,36,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
27,1674270000,10000,0.0,2023-01-21 03:00:00,800,Clear,晴,293.43,292.87,293.43,293.43,1021,1021,1009,52,0.0,2.74,340,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
28,1674280800,10000,0.0,2023-01-21 06:00:00,800,Clear,晴,294.65,294.27,294.65,294.65,1018,1018,1006,54,0.0,4.54,342,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
29,1674291600,10000,0.0,2023-01-21 09:00:00,800,Clear,晴,292.4,292.16,292.4,292.4,1018,1018,1005,68,0.0,5.32,357,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
30,1674302400,10000,0.0,2023-01-21 12:00:00,800,Clear,晴,290.49,290.34,290.49,290.49,1019,1019,1007,79,0.0,3.21,13,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
31,1674313200,10000,0.0,2023-01-21 15:00:00,800,Clear,晴,289.73,289.51,289.73,289.73,1019,1019,1007,79,0.0,1.73,29,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
32,1674324000,10000,0.0,2023-01-21 18:00:00,800,Clear,晴,289.07,288.75,289.07,289.07,1019,1019,1006,78,0.0,0.82,70,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
33,1674334800,10000,0.0,2023-01-21 21:00:00,800,Clear,晴,288.35,287.86,288.35,288.35,1019,1019,1006,74,0.0,1.14,126,,24.0753,120.5694,500,彰化縣彰化市,2023-01-18 01:00:00
