time,lon,lat,cloud,low,mid,hig,TIME_TO_INTERVAL
0.0,118.5,21.4,100.0,100.0,100.0,100.0,2022-02-01
10.0,118.55,21.45,100.0,100.0,100.0,100.0,2022-02-01
20.0,118.6,21.5,100.0,100.0,100.0,38.0,2022-02-01
30.0,118.65,21.55,100.0,100.0,100.0,90.0,2022-02-01
40.0,118.7,21.6,100.0,100.0,90.282814,100.0,2022-02-01
50.0,118.75,21.65,100.0,0.0,100.0,100.0,2022-02-01
60.0,118.8,21.7,100.0,0.0,16.536278,100.0,2022-02-01
70.0,118.85,21.75,100.0,100.0,15.407125,100.0,2022-02-01
80.0,118.9,21.8,100.0,100.0,19.830723000000003,100.0,2022-02-01
90.0,118.95,21.85,100.0,100.0,0.0,100.0,2022-02-01
100.0,119.0,21.9,100.0,98.96693,0.0,100.0,2022-02-01
110.0,119.05,21.95,100.0,100.0,0.0,100.0,2022-02-01
120.0,119.1,22.0,100.0,71.27096999999999,0.0,100.0,2022-02-01
130.0,119.15,22.05,100.0,100.0,0.0,100.0,2022-02-01
140.0,119.2,22.1,100.0,100.0,0.0,100.0,2022-02-01
150.0,119.25,22.15,100.0,100.0,0.0,100.0,2022-02-01
160.0,119.3,22.2,100.0,100.0,0.0,100.0,2022-02-01
170.0,119.35,22.25,100.0,100.0,1.3134412,100.0,2022-02-01
180.0,119.4,22.3,100.0,100.0,0.0,100.0,2022-02-01
190.0,119.45,22.35,100.0,100.0,0.0,100.0,2022-02-01
200.0,119.5,22.4,100.0,100.0,2.6151419999999996,100.0,2022-02-01
210.0,119.55,22.45,100.0,100.0,1.615142,100.0,2022-02-01
220.0,119.6,22.5,100.0,100.0,1.0,100.0,2022-02-01
230.0,119.65,22.55,100.0,100.0,1.0,100.0,2022-02-01
240.0,119.7,22.6,100.0,100.0,1.0,100.0,2022-02-01
250.0,119.75,22.65,100.0,100.0,0.0,100.0,2022-02-01
260.0,119.8,22.7,100.0,100.0,0.0,100.0,2022-02-01
270.0,119.85,22.75,100.0,100.0,0.0,100.0,2022-02-01
280.0,119.9,22.8,100.0,100.0,5.888107,100.0,2022-02-01
290.0,119.95,22.85,100.0,100.0,3.857496,100.0,2022-02-01
300.0,120.0,22.9,100.0,100.0,1.3006893,100.0,2022-02-01
310.0,120.05,22.95,100.0,100.0,0.0,100.0,2022-02-01
320.0,120.1,23.0,100.0,100.0,0.0,100.0,2022-02-01
330.0,120.15,23.05,100.0,100.0,2.230284,100.0,2022-02-01
340.0,120.2,23.1,100.0,100.0,2.5715697,100.0,2022-02-01
350.0,120.25,23.15,100.0,99.79825,1.615142,100.0,2022-02-01
360.0,120.3,23.2,100.0,98.76971400000001,1.0,100.0,2022-02-01
370.0,120.35,23.25,100.0,100.0,1.0,100.0,2022-02-01
380.0,120.4,23.3,100.0,100.0,1.0,100.0,2022-02-01
390.0,120.45,23.35,100.0,100.0,1.0,100.0,2022-02-01
400.0,120.5,23.4,100.0,100.0,1.0,100.0,2022-02-01
410.0,120.55,23.45,100.0,100.0,1.0,100.0,2022-02-01
420.0,120.6,23.5,100.0,100.0,1.0,100.0,2022-02-01
430.0,120.65,23.55,100.0,100.0,1.0,100.0,2022-02-01
440.0,120.7,23.6,100.0,100.0,0.0,100.0,2022-02-01
450.0,120.75,23.65,100.0,100.0,0.0,100.0,2022-02-01
460.0,120.8,23.7,100.0,100.0,0.0,100.0,2022-02-01
470.0,120.85,23.75,100.0,100.0,0.0,100.0,2022-02-01
480.0,120.9,23.8,100.0,100.0,0.0,100.0,2022-02-01
490.0,120.95,23.85,100.0,100.0,0.0,100.0,2022-02-01
500.0,121.0,23.9,100.0,100.0,0.0,100.0,2022-02-01
510.0,121.05,23.95,100.0,100.0,0.0,100.0,2022-02-01
520.0,121.1,24.0,100.0,100.0,0.0,100.0,2022-02-01
