time,lon,lat,cloud,low,mid,hig,TIME_TO_INTERVAL
0,118.625,21.525000000000002,100.0,83.33333333333333,98.380469,88.0,2022-02-01
1,118.925,21.825,100.0,83.161155,8.629021000000002,100.0,2022-02-01
2,119.22500000000001,22.125,100.0,95.21182833333334,0.21890686666666667,100.0,2022-02-01
3,119.52499999999999,22.425,100.0,100.0,1.0383806666666666,100.0,2022-02-01
4,119.825,22.724999999999998,100.0,100.0,1.7909338333333331,100.0,2022-02-01
5,120.125,23.025000000000002,100.0,99.96637500000001,1.2862808333333335,100.0,2022-02-01
6,120.425,23.325,100.0,99.79495233333334,1.0,100.0,2022-02-01
7,120.72500000000001,23.625,100.0,100.0,0.3333333333333333,100.0,2022-02-01
8,121.02499999999999,23.925,100.0,100.0,0.0,100.0,2022-02-01
9,121.325,24.224999999999998,100.0,100.0,0.0,100.0,2022-02-01
10,121.625,24.525000000000002,100.0,100.0,0.0,100.0,2022-02-01
11,121.925,24.825,100.0,100.0,0.0,100.0,2022-02-01
12,122.22500000000001,25.125,100.0,100.0,66.66666666666667,77.66666666666667,2022-02-01
13,122.52499999999999,25.425,100.0,100.0,66.66666666666667,53.0,2022-02-01
14,122.825,25.724999999999998,100.0,100.0,50.0,76.66666666666667,2022-02-01
15,,25.924999999999997,100.0,83.33333333333333,93.22241266666667,85.30303033333334,2022-02-01
16,,,100.0,83.02964833333333,14.083675666666664,100.0,2022-02-01
17,,,100.0,100.0,7.53192045,100.0,2022-02-01
18,,,100.0,100.0,8.6606147,100.0,2022-02-01
19,,,100.0,100.0,11.685251549999998,100.0,2022-02-01
20,,,100.0,99.18188099999999,18.920795566666666,100.0,2022-02-01
21,,,100.0,99.38343333333334,0.0,100.0,2022-02-01
22,,,100.0,100.0,0.5,100.0,2022-02-01
23,,,100.0,100.0,0.0,100.0,2022-02-01
0,118.625,21.525000000000002,0.0,0.0,0.0,0.0,2022-02-02
1,118.925,21.825,0.0,0.0,0.0,0.0,2022-02-02
2,119.22500000000001,22.125,77.99,66.66666666666667,72.27666666666666,0.0,2022-02-02
