TIME_TO_INTERVAL,date,hour,Power,Radiation,ClearSkyRadiation,Radiation(SDv3)(CWB),Radiation(SDv3)(IBM),Radiation(SDv3)(OWM),Radiation(MSM),minute,pre_Power_15,pre_Radiation_15,pre_Power_30,Radiation_0,pre_Power_45,next_Radiation_15
2022-02-27 00:00:00,2022-02-27,0,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-27 00:15:00,2022-02-27,0,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000294,0.0,0.0,0.0,0.0,0.0
2022-02-27 00:30:00,2022-02-27,0,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000294,0.0,0.030000000000000294,0.0,0.0,0.0
2022-02-27 00:45:00,2022-02-27,0,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 01:00:00,2022-02-27,1,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 01:15:00,2022-02-27,1,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 01:30:00,2022-02-27,1,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 01:45:00,2022-02-27,1,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 02:00:00,2022-02-27,2,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 02:15:00,2022-02-27,2,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 02:30:00,2022-02-27,2,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 02:45:00,2022-02-27,2,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 03:00:00,2022-02-27,3,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 03:15:00,2022-02-27,3,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 03:30:00,2022-02-27,3,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 03:45:00,2022-02-27,3,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 04:00:00,2022-02-27,4,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 04:15:00,2022-02-27,4,0.029600000000000282,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 04:30:00,2022-02-27,4,0.029466666666666943,0.0,0.0,0.0,0.0,0.0,0.0,30,0.029600000000000282,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-02-27 04:45:00,2022-02-27,4,0.029600000000000282,0.0,0.0,0.0,0.0,0.0,0.0,45,0.029466666666666943,0.0,0.029600000000000282,0.0,0.030000000000000294,0.0
2022-02-27 05:00:00,2022-02-27,5,0.02970000000000028,0.0,0.0,0.0,0.0,0.0,0.00374,0,0.029600000000000282,0.0,0.029466666666666943,0.0,0.029600000000000282,0.0
2022-02-27 05:15:00,2022-02-27,5,0.028900000000000124,0.0,0.0,0.0,0.0,0.0,0.00374,15,0.02970000000000028,0.0,0.029600000000000282,0.0,0.029466666666666943,0.0
2022-02-27 05:30:00,2022-02-27,5,0.02764444444444453,0.0,0.0,0.0,0.0,0.0,0.00374,30,0.028900000000000124,0.0,0.02970000000000028,0.0,0.029600000000000282,0.0
2022-02-27 05:45:00,2022-02-27,5,0.02805555555555569,0.0,0.0,0.0,0.0,0.0,0.00374,45,0.02764444444444453,0.0,0.028900000000000124,0.0,0.02970000000000028,0.030983471267949987
2022-02-27 06:00:00,2022-02-27,6,0.028077777777777903,0.022222222222222227,0.010629523316760115,0.030983471267949987,0.0282625092422308,0.011877959939830018,0.01122,0,0.02805555555555569,0.0,0.02764444444444453,0.030983471267949987,0.028900000000000124,0.030983471267949987
2022-02-27 06:15:00,2022-02-27,6,0.028355555555555693,0.022222222222222227,0.010629523316760115,0.030983471267949987,0.0282625092422308,0.011877959939830018,0.01122,15,0.028077777777777903,0.030983471267949987,0.02805555555555569,0.030983471267949987,0.02764444444444453,0.030983471267949987
2022-02-27 06:30:00,2022-02-27,6,0.045844444444444486,0.022222222222222227,0.010629523316760115,0.030983471267949987,0.0282625092422308,0.011877959939830018,0.01122,30,0.028355555555555693,0.030983471267949987,0.028077777777777903,0.030983471267949987,0.02805555555555569,0.030983471267949987
2022-02-27 06:45:00,2022-02-27,6,0.5868111111111121,0.022222222222222227,0.010629523316760115,0.030983471267949987,0.0282625092422308,0.011877959939830018,0.01122,45,0.045844444444444486,0.030983471267949987,0.028355555555555693,0.030983471267949987,0.028077777777777903,0.11259481676152085
