TIME_TO_INTERVAL,Power,Radiation,ClearSkyRadiation,Radiation(SDv3)(CWB),Radiation(SDv3)(IBM),Radiation(SDv3)(OWM),Radiation(MSM),Radiation(today)(CWB),Radiation(today)(IBM),Radiation(today)(OWM),WeatherType(CWB),WeatherType(pred)(CWB),WeatherType(IBM),WeatherType(pred)(IBM),WeatherType(OWM),WeatherType(pred)(OWM),ApparentTemperature(pred)[CWB],Temperature(pred)[CWB],RelativeHumidity(pred)[CWB],FeelsLikeTemperature(pred)[IBM],Temperature(pred)[IBM],RelativeHumidity(pred)[IBM],FeelsLikeTemperature(pred)[OWM],Temperature(pred)[OWM],RelativeHumidity(pred)[OWM]
2021-04-01 00:00:00,,,,,,,,,,,,,,,,,,,,24.0,24.0,88.0,23.720000000000034,23.460000000000036,71.0
2021-04-01 01:00:00,,,,,,,,,,,,,,,,,,,,,,,23.720000000000034,23.460000000000036,71.0
2021-04-01 02:00:00,,,,,,,,,,,,,,,,,,,,24.0,24.0,88.0,23.720000000000034,23.460000000000036,71.0
2021-04-01 03:00:00,,,,,,,,,,,,,,,,,,,,23.0,23.0,91.0,23.94,23.590000000000032,74.0
2021-04-01 04:00:00,,,,,,,,,,,,,,,,,,,,23.0,23.0,91.0,23.94,23.590000000000032,74.0
2021-04-01 05:00:00,,,,,,,,,,,,,,,,,,,,23.0,23.0,91.0,23.94,23.590000000000032,74.0
2021-04-01 06:00:00,,,,,,,,,,,,,,,,,26.0,23.0,88.0,24.0,23.0,92.0,23.370000000000005,23.0,77.0
2021-04-01 07:00:00,,,,,,,,,,,,,,,,,26.0,23.0,88.0,23.0,23.0,91.0,23.370000000000005,23.0,77.0
2021-04-01 08:00:00,,,,,,,,,,,,,,,,,26.0,23.0,88.0,25.0,24.0,89.0,23.370000000000005,23.0,77.0
2021-04-01 09:00:00,,,,,,,,,,,,,,,,,27.0,26.0,75.0,30.0,27.0,73.0,25.050000000000008,24.700000000000053,70.0
2021-04-01 10:00:00,,,,,,,,,,,,,,,,,27.0,26.0,75.0,28.0,25.0,83.0,25.050000000000008,24.700000000000053,70.0
2021-04-01 11:00:00,,,,,,,,,,,,,,,,,27.0,26.0,75.0,31.0,28.0,67.0,25.050000000000008,24.700000000000053,70.0
2021-04-01 12:00:00,,,,,,,,,,,,,,,,,30.0,29.0,69.0,33.0,30.0,59.0,28.27000000000004,27.090000000000032,61.0
2021-04-01 13:00:00,,,,,,,,,,,,,,,,,30.0,29.0,69.0,32.0,29.0,60.0,28.27000000000004,27.090000000000032,61.0
2021-04-01 14:00:00,,,,,,,,,,,,,,,,,30.0,29.0,69.0,33.0,30.0,57.0,28.27000000000004,27.090000000000032,61.0
2021-04-01 15:00:00,,,,,,,,,,,,,,,,,31.0,29.0,74.0,33.0,30.0,56.0,30.580000000000037,30.31,44.0
2021-04-01 16:00:00,,,,,,,,,,,,,,,,,31.0,29.0,74.0,34.0,30.0,57.0,30.580000000000037,30.31,44.0
2021-04-01 17:00:00,,,,,,,,,,,,,,,,,31.0,29.0,74.0,32.0,29.0,59.0,30.580000000000037,30.31,44.0
2021-04-01 18:00:00,,,,,,,,,,,,,,,,,,,,29.0,27.0,70.0,27.86000000000001,26.879999999999995,59.0
2021-04-01 19:00:00,,,,,,,,,,,,,,,,,,,,30.0,28.0,65.0,27.86000000000001,26.879999999999995,59.0
2021-04-01 20:00:00,,,,,,,,,,,,,,,,,,,,28.0,25.0,77.0,27.86000000000001,26.879999999999995,59.0
2021-04-01 21:00:00,,,,,,,,,,,,,,,,,,,,27.0,24.0,84.0,25.070000000000054,24.76000000000005,68.0
2021-04-01 22:00:00,,,,,,,,,,,,,,,,,,,,27.0,25.0,81.0,25.070000000000054,24.76000000000005,68.0
2021-04-01 23:00:00,,,,,,,,,,,,,,,,,,,,26.0,24.0,86.0,25.070000000000054,24.76000000000005,68.0
2021-04-02 00:00:00,,,,,,,,,,,,,,,,,,,,24.0,24.0,86.0,24.31,24.050000000000008,69.0
2021-04-02 01:00:00,,,,,,,,,,,,,,,,,,,,24.0,24.0,84.0,24.31,24.050000000000008,69.0
2021-04-02 02:00:00,,,,,,,,,,,,,,,,,,,,23.0,23.0,86.0,24.31,24.050000000000008,69.0
2021-04-02 03:00:00,,,,,,,,,,,,,,,,,,,,23.0,23.0,89.0,24.27000000000004,24.06,67.0
2021-04-02 04:00:00,,,,,,,,,,,,,,,,,,,,23.0,23.0,88.0,24.27000000000004,24.06,67.0
2021-04-02 05:00:00,,,,,,,,,,,,,,,,,,,,22.0,22.0,89.0,24.27000000000004,24.06,67.0
2021-04-02 06:00:00,,,,,,,,,,,,,,,,,25.0,23.0,85.0,23.0,22.0,90.0,23.350000000000023,23.150000000000034,70.0
2021-04-02 07:00:00,,,,,,,,,,,,,,,,,25.0,23.0,85.0,22.0,22.0,90.0,23.350000000000023,23.150000000000034,70.0
2021-04-02 08:00:00,,,,,,,,,,,,,,,,,25.0,23.0,85.0,25.0,24.0,82.0,23.350000000000023,23.150000000000034,70.0
2021-04-02 09:00:00,,,,,,,,,,,,,,,,,28.0,26.0,74.0,31.0,28.0,65.0,25.830000000000037,25.600000000000023,62.0
